,contribution
ALV.DE,2.1597908008492282e-05
DTE.DE,1.5480704441370464e-05
BN.PA,9.199429840112774e-06
IBE.MC,1.6642476697153503e-05
ENI.MI,1.2747214909394254e-05
BAS.DE,1.4190955981888989e-05
G.MI,1.2926001727463502e-05
BAYN.DE,7.782738485646726e-06
ASML.AS,3.6278261121169996e-05
DG.PA,1.8082889827396924e-05
AIR.PA,2.5589414429328964e-05
ENGI.PA,1.0039532671915635e-05
CA.PA,3.5765864815445975e-06
CS.PA,1.9226938170651326e-05
ABI.BR,1.769151651156418e-05
EOAN.DE,8.416131076078162e-06
BMW.DE,1.93253238454154e-05
BNP.PA,1.8128277547495024e-05
ISP.MI,1.9895970500495253e-05
INGA.AS,2.407259751303442e-05
ENEL.MI,1.5603411186489076e-05
BBVA.MC,1.8529863190135565e-05
DBK.DE,1.3343070149847009e-05
GLE.PA,1.962459206541897e-05
